time,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gt_px,gt_py,gt_pz,gt_vx,gt_vy,gt_vz,gt_qw,gt_qx,gt_qy,gt_qz,est_px,est_py,est_pz,est_vx,est_vy,est_vz,est_qw,est_qx,est_qy,est_qz,correction_applied,P_dpx,P_dpy,P_dpz,P_dvx,P_dvy,P_dvz,P_dtheta_x,P_dtheta_y,P_dtheta_z
5.0000000000e-03,3.2095267654e+01,5.1389186415e-02,-1.4222063771e+01,8.1255385849e-04,-1.6854992995e-03,-1.1249528760e-03,-3.4694469520e-17,3.6049722235e-18,5.3541698966e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.9999550000e-01,0.0000000000e+00,-2.9999955000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-02,1.6047633827e-01,2.5694593207e-04,-1.2016031885e-01,9.9999999999e-01,2.0313846462e-06,-4.2137482487e-06,-2.8123821899e-06,0.0000000000e+00,1.0000002500e-04,1.0000002500e-04,1.0000002500e-04,2.5497968480e-06,1.0394484100e-05,8.8541521742e-06,3.0461743844e-04,3.0461743844e-04,3.0461743844e-04
1.0000000000e-02,2.1258093942e+01,-1.4349660905e+00,-9.3269432263e+00,-2.5033028400e-01,-1.1894702573e+00,-8.5294354968e-02,5.5279424842e-04,-3.3377800226e-05,5.3056957120e-02,1.1051990592e-01,-6.8132499908e-03,-9.6450391032e-02,9.9998192881e-01,-6.2230945553e-04,-5.9756448731e-03,-2.1554901517e-04,8.0238169136e-04,1.2847296604e-06,4.9399198406e-02,2.6676716063e-01,-6.9182929159e-03,-2.1584416837e-01,9.9999534819e-01,-6.2380083142e-04,-2.9778825794e-03,-2.1605660449e-04,0.0000000000e+00,1.0000013874e-04,1.0000033486e-04,1.0000029635e-04,5.2565505056e-06,2.6919983654e-05,2.2711442222e-05,3.0461745710e-04,3.0461745710e-04,3.0461745710e-04
1.5000000000e-02,1.3329654255e+01,-2.0755124177e+00,-5.4489020670e+00,-3.6982313683e-01,-1.9388738082e+00,-1.3447719314e-01,1.4730375997e-03,-1.1617865893e-04,5.2178606901e-02,1.8394405779e-01,-1.6877073799e-02,-1.7431264202e-01,9.9994008241e-01,-1.5416398947e-03,-1.0823712675e-02,-5.4970923322e-04,2.1362174945e-03,-3.3306734919e-05,4.8319977564e-02,3.3357197463e-01,-1.7358423007e-02,-2.9172828309e-01,9.9996803310e-01,-1.5483890959e-03,-7.8249983257e-03,-5.5197355809e-04,0.0000000000e+00,1.0000049813e-04,1.0000188789e-04,1.0000161661e-04,7.4874413274e-06,4.1290516398e-05,3.5014920690e-05,3.0461747576e-04,3.0461747576e-04,3.0461747576e-04
2.0000000000e-02,-9.0903616876e-01,3.5648792647e-01,-8.1454080457e-01,-4.2528144330e-01,-2.3830182475e+00,-1.5897418478e-01,2.6245205103e-03,-2.5421441914e-04,5.0976863117e-02,2.3013067787e-01,-2.8024331336e-02,-2.3824887200e-01,9.9985531759e-01,-2.5990603698e-03,-1.6783714566e-02,-9.4641101245e-04,1.7115823404e-03,-2.2130410935e-04,4.8531530486e-02,2.3128481985e-01,-2.8074791518e-02,-2.3878562969e-01,9.9560657758e-01,-1.5902315061e-02,-8.9625297257e-02,-2.1953704760e-02,1.0000000000e+00,1.0000002252e-04,1.0000007426e-04,1.0000006326e-04,9.9204690675e-09,9.9973792014e-09,9.9818085505e-09,2.7055680105e-04,9.1750304520e-06,4.2507926480e-05
2.5000000000e-02,-1.6879224614e+01,-7.0221030930e-01,3.3132628323e+01,-3.0597992593e-01,-4.0955084654e-01,-1.8247761284e-01,3.7944377090e-03,-3.7379112303e-04,4.9722710968e-02,2.3425759142e-01,-2.4327093350e-02,-2.4960419549e-01,9.9983477217e-01,-3.3567185738e-03,-1.7809041041e-02,-1.4138129694e-03,3.8210992507e-03,-4.0841858473e-04,4.6641592688e-02,2.0150234402e-01,-2.2625675729e-02,-2.0729055616e-01,9.9909358578e-01,-3.1978657542e-02,-2.4487440925e-02,-1.3774525198e-02,1.0000000000e+00,1.0000001132e-04,1.0000006776e-04,1.0000001310e-04,8.5609454665e-09,9.9648776811e-09,7.6907101837e-09,9.4794567177e-06,8.3227244445e-07,1.7686143292e-05
3.0000000000e-02,-1.3766330261e+01,1.2833102174e+00,2.9001562385e+01,-1.1815322842e-01,2.2241311669e-01,-1.3313969121e-01,4.7096651748e-03,-4.8982573126e-04,4.8915807053e-02,1.8315928488e-01,-2.3421382274e-02,-1.6100083417e-01,9.9984294042e-01,-3.6433074472e-03,-1.7255060396e-02,-1.7560452985e-03,5.0624950866e-03,-3.0899752875e-04,4.5499029144e-02,1.6648150472e-01,-1.9902422972e-02,-1.4008957793e-01,9.9564814496e-01,3.0699092687e-02,7.9444876966e-03,-8.7631171707e-02,1.0000000000e+00,1.0000001170e-04,1.0000006224e-04,1.0000001184e-04,7.9028081711e-09,8.7307326204e-09,6.7885216332e-09,5.4139448219e-06,3.7956450930e-07,1.5768647902e-05
3.5000000000e-02,-9.8079611008e+00,7.7377536796e-01,2.2552684180e+01,-5.3657669968e-02,5.3159496190e-01,-7.9208146898e-02,5.4008872744e-03,-5.6277320897e-04,4.8471731219e-02,1.3825198603e-01,-1.4689324799e-02,-8.8724798776e-02,9.9986409341e-01,-3.7730534132e-03,-1.5928250695e-02,-1.9620422324e-03,5.9334400183e-03,-4.1977078589e-04,4.4781500886e-02,1.3245220603e-01,-1.4452966347e-02,-8.2875340493e-02,9.9580435486e-01,2.7556817076e-02,1.8305351455e-02,-8.5318361319e-02,1.0000000000e+00,1.0000001208e-04,1.0000005594e-04,1.0000001200e-04,7.2016914473e-09,7.8953443216e-09,6.3505970666e-09,3.8171309606e-06,2.5781738590e-07,1.3650377643e-05
4.0000000000e-02,-6.8905457198e+00,1.9181411165e-01,1.8091211925e+01,-2.0408162494e-02,6.9308488379e-01,-3.5748896290e-02,5.9156501545e-03,-6.0881157680e-04,4.8273416120e-02,1.0291806129e-01,-9.2950749853e-03,-3.9612388391e-02,9.9988979241e-01,-3.8194699107e-03,-1.4197764951e-02,-2.0586777551e-03,6.5930798317e-03,-5.3924176875e-04,4.4369834019e-02,1.0253944381e-01,-1.0220503321e-02,-3.9801536643e-02,9.9706889006e-01,1.7885547797e-02,2.1348340307e-02,-7.1259974873e-02,1.0000000000e+00,1.0000001233e-04,1.0000004920e-04,1.0000001225e-04,6.7892148349e-09,7.4184384423e-09,6.1923721949e-09,2.8620610142e-06,2.0292221224e-07,1.1481595280e-05
4.5000000000e-02,-4.6873472455e+00,5.4480868478e-01,1.5085309589e+01,8.9610949676e-03,7.4799844746e-01,-4.2821458917e-03,6.2916912083e-03,-6.4376549323e-04,4.8237607397e-02,7.5169574373e-02,-7.1305724460e-03,-7.0758727650e-03,9.9991469775e-01,-3.7937702557e-03,-1.2324772034e-02,-2.0747358046e-03,7.0943475702e-03,-5.7908552736e-04,4.4175919740e-02,7.7883142968e-02,-7.1993573061e-03,-9.2449401621e-03,9.9682672172e-01,1.9876669454e-02,2.0746151016e-02,-7.4236123972e-02,1.0000000000e+00,1.0000001253e-04,1.0000004286e-04,1.0000001250e-04,6.5294334077e-09,7.2132139311e-09,6.1261204595e-09,2.1805469594e-06,1.7294951500e-07,9.4354127097e-06
5.0000000000e-02,-3.3459207724e+00,1.9614584973e-01,1.3099781344e+01,1.6653752802e-02,7.2466180631e-01,9.4922420039e-04,6.5741967148e-03,-6.5513982957e-04,4.8292032203e-02,5.6472283913e-02,-2.3615595384e-03,1.0968890755e-02,9.9993555409e-01,-3.7511878027e-03,-1.0511372687e-02,-2.0802153255e-03,7.4685853803e-03,-6.4683194939e-04,4.4129705179e-02,5.9257639001e-02,-3.6805621084e-03,9.7024367621e-03,9.9765087524e-01,1.3768555547e-02,2.0744188088e-02,-6.3818779898e-02,1.0000000000e+00,1.0000001275e-04,1.0000003775e-04,1.0000001274e-04,6.3953489110e-09,7.0386483059e-09,6.0999352170e-09,1.7027090563e-06,1.5508113480e-07,7.8054767110e-06
